Region,Total Adults,Male Adults,Female Adults,Adults Aged 18-24,Adults Aged 25-44,Adults Aged 45-64,Adults Aged 65+,Number of people who accessed Private Emergency Accommodation,Number of people who accessed Supported Temporary Accommodation,Number of people who accessed Temporary Emergency Accommodation,Number of people who accessed Other Accommodation,Number of people with citizenship Irish,Number of people with citizenship EEA/Uk,Number of people with citizenship Non-EEA,Number of Families,Number of Adults in Families,Number of Single-Parent families,Number of Dependants in Families
Dublin,7198,4503,2695,1251,3850,1980,117,4877,2282,39,0,3345,1787,2066,1488,2564,813,3289
Mid-East,508,295,213,88,215,167,38,347,162,1,0,323,114,71,113,186,65,184
Midlands,157,89,68,23,77,53,4,117,0,37,3,127,18,12,34,42,26,55
Mid-West,517,301,216,81,286,139,11,220,281,25,0,402,50,65,110,170,65,191
North-East,233,117,116,42,118,67,6,149,83,1,0,142,50,41,58,80,41,115
North-West,146,92,54,13,77,51,5,93,39,14,0,108,31,7,24,29,21,48
South-East,298,170,128,41,169,76,12,121,179,0,0,236,39,23,60,82,41,111
South-West,596,391,205,77,349,155,15,405,193,0,0,413,83,100,95,132,69,183
West,375,209,166,84,171,102,18,299,76,0,0,290,56,29,114,170,64,225
